Nomor,Kabupaten,Latitude,Longitude,Status,Dimensi,File
KOTA JAMBI-KOTA BARU-RAWA SARI-009,KOTA JAMBI,-1.621085,103.565935,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-RAWA SARI-009.jpg
KOTA JAMBI-KOTA BARU-RAWA SARI-010,KOTA JAMBI,-1.621357,103.566805,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_KOTA JAMBI-KOTA BARU-RAWA SARI-010.jpg
MUARO BUNGO-TANAH TUMBUH-LUBUK NIUR-001,MUARO BUNGO,-1.431015,101.881126,RESOLUSI RENDAH,1024x575,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_MUARO BUNGO-TANAH TUMBUH-LUBUK NIUR-001.jpg
TEBO-MUARA TABIR-PINTAS TUO-001,TEBO,-1.6412,102.56526,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_TEBO-MUARA TABIR-PINTAS TUO-001.jpg
TEBO-MUARA TABIR-PINTAS TUO-003,TEBO,-1.644417,102.559908,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_TEBO-MUARA TABIR-PINTAS TUO-003.jpg
TEBO-MUARA TABIR-PINTAS TUO-004,TEBO,-1.654033,102.554909,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_TEBO-MUARA TABIR-PINTAS TUO-004.jpg
TEBO-MUARA TABIR-PINTAS TUO-005,TEBO,-1.65573,102.553443,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_TEBO-MUARA TABIR-PINTAS TUO-005.jpg
TEBO-MUARA TABIR-PINTAS TUO-006,TEBO,-1.65573,102.553443,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_TEBO-MUARA TABIR-PINTAS TUO-006.jpg
TEBO-MUARA TABIR-PINTAS TUO-007,TEBO,-1.65495,102.55072,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_TEBO-MUARA TABIR-PINTAS TUO-007.jpg
TEBO-MUARA TABIR-PINTAS TUO-008,TEBO,-1.654677,102.550372,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_TEBO-MUARA TABIR-PINTAS TUO-008.jpg
TEBO-MUARA TABIR-PINTAS TUO-009,TEBO,-1.654082,102.550344,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_TEBO-MUARA TABIR-PINTAS TUO-009.jpg
TEBO-MUARA TABIR-PINTAS TUO-010,TEBO,-1.653668,102.549722,RESOLUSI RENDAH,436x582,D__011. ESDM_Penerangan Jalan Umum Tenaga Surya 2026_2026_03. Foto_TEBO-MUARA TABIR-PINTAS TUO-010.jpg
