No;Jarak (m);Pita;Nomor A;Nomor B;Kabupaten;Kecamatan;Desa/Kelurahan;Lon A;Lat A;Lon B;Lat B;Tanggal A;Tanggal B;Pengusul;Foto A;Foto B;Foto Identik;Status Koordinat;Keputusan;Catatan Petugas
79;43.1;30-50 m;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-005;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-006;KERINCI;GUNUNG KERINCI;SIULAK DERAS MUDIK;101.29866;-1.89518;101.29847;-1.89484;11/06/2026;11/06/2026;Arwiyanto, S.E.;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-005.jpg;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-006.jpg;tidak;kedua koordinat sah;;
80;43.4;30-50 m;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-001;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-002;MUARO BUNGO;SEPENGGAL LINTAS;LUBUK LANDAI;101.953327;-1.401249;101.953416;-1.400867;12/02/2026;12/02/2026;Hambali;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-001.jpg;MUARO BUNGO-SEPENGGAL LINTAS-LUBUK LANDAI-002.jpg;tidak;kedua koordinat sah;;
81;44.0;30-50 m;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-008;KOTA JAMBI;DANAU TELUK;TANJUNG RADEN;103.58649;-1.58518;103.586269;-1.58551;13/05/2026;26/05/2026;Gubernur Jambi;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-006.jpg;KOTA JAMBI-DANAU TELUK-TANJUNG RADEN-008.jpg;tidak;kedua koordinat sah;;
82;44.0;30-50 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-003;SAROLANGUN-BATANG ASAI-BATU EMPANG-009;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.234715;-2.627546;102.234956;-2.62723;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-003.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-009.jpg;tidak;kedua koordinat sah;;
83;45.2;30-50 m;MERANGIN-TIANG PUMPUNG-SEKANCING-001;MERANGIN-TIANG PUMPUNG-SEKANCING-003;MERANGIN;TIANG PUMPUNG;SEKANCING;102.187706;-2.255436;102.18785;-2.255818;28/06/2026;28/06/2026;Gubernur Jambi;MERANGIN-TIANG PUMPUNG-SEKANCING-001.jpg;MERANGIN-TIANG PUMPUNG-SEKANCING-003.jpg;tidak;kedua koordinat sah;;
84;45.9;30-50 m;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-006;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-007;KERINCI;GUNUNG KERINCI;SIULAK DERAS MUDIK;101.29847;-1.89484;101.29836;-1.89444;11/06/2026;11/06/2026;Arwiyanto, S.E.;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-006.jpg;KERINCI-GUNUNG KERINCI-SIULAK DERAS MUDIK-007.jpg;tidak;kedua koordinat sah;;
85;47.3;30-50 m;KOTA JAMBI-TELANAIPURA-TELANAIPURA-001;KOTA JAMBI-TELANAIPURA-TELANAIPURA-006;KOTA JAMBI;TELANAIPURA;TELANAIPURA;103.57719;-1.60632;103.57692;-1.60599;26/06/2026;26/06/2026;Gubernur Jambi;KOTA JAMBI-TELANAIPURA-TELANAIPURA-001.png;KOTA JAMBI-TELANAIPURA-TELANAIPURA-006.png;tidak;kedua koordinat sah;;
86;47.7;30-50 m;TEBO-TEBO TENGAH-BEDARO RAMPAK-001;TEBO-TEBO TENGAH-BEDARO RAMPAK-002;TEBO;TEBO TENGAH;BEDARO RAMPAK;102.44415;-1.46117;102.44376;-1.46099;12/02/2026;12/02/2026;Eka Majid;TEBO-TEBO TENGAH-BEDARO RAMPAK-001.jpg;TEBO-TEBO TENGAH-BEDARO RAMPAK-002.jpg;tidak;kedua koordinat sah;;
87;47.8;30-50 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-001;SAROLANGUN-BATANG ASAI-BATU EMPANG-002;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.234314;-2.626932;102.234529;-2.627306;28/02/2026;28/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-001.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-002.jpg;tidak;kedua koordinat sah;;
88;47.9;30-50 m;SAROLANGUN-BATANG ASAI-BATU EMPANG-013;SAROLANGUN-BATANG ASAI-BATU EMPANG-014;SAROLANGUN;BATANG ASAI;BATU EMPANG;102.23502;-2.62936;102.23534;-2.62907;12/02/2026;12/02/2026;Gubernur Jambi;SAROLANGUN-BATANG ASAI-BATU EMPANG-013.jpg;SAROLANGUN-BATANG ASAI-BATU EMPANG-014.jpg;tidak;kedua koordinat sah;;
